13|11|20
13|11|18
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
9|7|8
13|11|20
13|11|13
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|14
8|6|7
13|13|15
10|8|10
11|9|10
9|7|8
13|11|20
13|11|18
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|7
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|15
8|6|8
13|13|15
10|8|10
11|9|10
9|7|8
13|11|20
13|11|18
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|14
8|6|7
13|13|15
10|8|10
11|9|10
9|7|8
13|11|20
13|11|13
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
9|7|8
13|11|20
13|11|13
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|7
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|15
8|6|7
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|18
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|7
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|18
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|7
13|13|15
10|8|10
11|9|10
13|11|20
13|11|18
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|7
7|5|6
3|1|2
7|5|7
6|4|5
9|7|8
10|8|9
14|12|14
8|6|8
13|13|15
10|8|10
11|9|10
13|11|20
13|11|13
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|7
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|14
8|6|7
13|13|15
10|8|10
11|9|10
9|7|8
7|5|6
11|9|11
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|15
8|6|8
13|13|15
10|8|10
11|9|10
9|7|8
7|5|6
11|9|16
3|3|4
4|2|3
5|3|4
6|4|6
7|5|6
3|1|2
7|5|7
6|4|5
10|8|9
14|12|15
8|6|7
13|13|15
10|8|10
11|9|10
