10|4
11|5
6|2
11|9
12|8
8|2
9|3
14|10
9|5
11|5
12|6
14|14
12|6
17|13
18|14
16|16
19|17
22|18
8|2
7|3
10|6
11|5
14|12
11|5
15|15
17|15
18|16
10|4
15|13
10|6
10|4
11|5
6|2
12|6
8|2
9|3
14|8
9|5
11|5
12|6
14|12
12|6
17|11
18|12
16|14
19|15
22|16
8|2
7|3
10|6
11|5
14|10
11|5
15|13
17|13
16|16
18|14
10|4
15|11
10|6
10|4
11|5
6|2
11|5
8|2
9|3
9|5
11|5
12|6
12|6
8|2
7|3
10|6
11|5
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
12|6
12|6
8|2
7|3
10|6
11|5
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
12|6
12|6
8|2
7|3
10|6
11|5
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
14|8
9|5
11|5
12|6
12|6
8|2
7|3
10|6
11|5
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
14|8
9|5
11|5
12|6
14|12
12|6
17|13
18|12
16|14
19|17
22|16
8|2
7|3
10|6
11|5
14|10
11|5
15|13
17|15
16|16
18|16
10|4
15|11
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
14|8
9|5
11|5
12|6
12|6
17|11
18|12
16|14
19|15
22|16
8|2
7|3
10|6
11|5
14|10
11|5
15|15
17|13
16|16
18|14
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
16|14
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
16|16
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
16|14
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
16|16
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
16|14
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
16|16
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
16|16
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
16|14
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
16|14
17|13
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
18|16
19|17
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
18|16
19|17
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
18|16
19|17
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
12|6
8|2
9|3
9|5
11|5
11|5
12|6
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|5
8|2
9|3
9|5
11|5
11|5
12|6
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
12|6
8|2
9|3
9|5
11|5
11|5
12|6
15|15
18|14
19|15
22|16
8|2
7|3
10|6
11|5
10|4
10|6
10|4
11|5
6|2
11|9
12|8
8|2
9|3
9|5
11|5
11|5
12|6
18|16
19|17
22|18
8|2
7|3
10|6
11|5
10|4
10|6
6|2
8|2
9|3
9|5
11|5
11|5
12|6
8|2
7|3
10|6
11|5
10|4
10|6
6|2
8|2
9|3
9|5
11|5
11|5
12|6
7|3
10|6
11|5
10|4
10|6
6|2
8|2
10|6
9|3
11|5
9|5
11|5
11|5
12|6
7|3
10|4
10|6
6|2
8|2
10|6
9|3
11|5
9|5
11|5
11|5
12|6
7|3
10|4
10|6
6|2
8|2
10|6
9|3
11|5
9|5
11|5
11|5
12|6
7|3
10|4
10|6
6|2
8|2
10|6
9|3
11|5
9|5
11|5
11|5
12|6
7|3
10|4
10|6
11|3
12|2
8|4
9|3
11|1
10|2
11|1
12|2
12|4
14|4
14|4
17|7
18|8
17|11
19|9
16|14
18|12
21|11
20|12
21|11
6|6
11|3
15|5
17|9
18|10
18|14
11|3
12|2
8|4
9|3
11|1
10|2
11|1
12|2
12|4
14|4
14|4
17|7
18|8
17|11
19|9
16|14
18|12
21|11
20|12
21|11
6|6
11|3
15|5
17|9
18|10
18|14
11|3
12|2
8|4
9|3
11|1
10|2
11|1
12|2
12|4
14|4
14|4
17|7
18|8
17|11
19|9
16|14
18|12
21|11
20|12
21|11
6|6
11|3
15|5
17|9
18|10
18|14
11|3
12|2
8|4
9|3
11|1
10|2
11|1
12|2
12|4
14|4
14|4
17|7
18|8
17|11
19|9
16|14
18|12
21|11
20|12
21|11
6|6
11|3
